vertex,edges
344,9;13;24;27;270;274;376
345,137;155;241;244;273;274;303
346,9;23;63;146;218;241;279;296;324;366
347,10;24;74;219;227;283;368
340,3;29;140;154;177;178;182;240;246;261;289;299;372
341,8;28;141;153;239;247;250;259;271;284;301;375
342,23;138;155;177;181;182;241;245;252;257;271;286;293;302;371
343,141;152;238;247;248;258;269;270;376
348,8;25;58;79;220;226;297;365;374
349,13;28;63;222;230;283;368
298,37;39;64;76;88;89;100;288;292;304;339;352
299,40;80;93;102;289;311;340
296,36;39;63;89;99;310;337;346
297,45;58;61;79;91;98;291;304;338;348;352
294,5;21;34;91;103;110;119;141;152;184;205;368
295,36;60;90;99;289;311;336
292,20;22;35;93;101;117;138;154;203;264;298;339;373
293,20;102;118;140;187;207;265;302;342
290,109;113;115;183;199;366;367
291,21;92;111;139;153;185;264;297;338;365
199,35;76;115;171;288;290;367
198,7;71;138;189;252;333;381
195,6;51;68;135;163;234;249;329;379
194,6;50;67;141;142;165;184;186;248;250;328;381
197,7;70;137;144;188;190;234;254;332;379
196,52;69;136;139;143;164;185;191;251;253;328;332;380;382
191,1;20;57;114;127;143;144;174;193;196;203;207;216;248;252;286;330;332;364;381
190,59;112;126;170;197;205;206;250;285;319;322;332;362;381
193,144;191;254;330;388
192,142;185;250;334;385
270,9;27;331;343;344
271,8;23;28;39;63;64;69;70;79;80;85;86;126;127;133;134;262;265;305;320;323;332;341;342
272,13;27;40;71;87;264;322;333
273,63;66;74;81;122;133;334;345
274,13;24;36;40;335;344;345
275,6;10;24;50;51;110;116;131;152;307;354;360
276,11;23;109;117;126;129;138;151;309;328;356;362
277,8;25;50;52;53;111;115;121;134;153;308;328;353;357;363
278,7;13;28;54;55;113;119;127;141;307;354;364
279,12;29;114;118;125;130;140;149;310;332;346;366
449,388;419;453;476;495;499
448,400;406;411;418;423;426;437;456;472;476;479;495;502;510;516
443,398;403;408;415;425;430;439;462;465;478;481;490
442,392;417;433;462;493
441,392;394;408;409;424;435;461
440,383;385;401;402;422;445;459;463;477
447,387;414;428;462;467
446,394;416;438;465;497;500;514
445,384;394;407;408;440;464;466;481;500
444,385;387;402;403;425;429;468
108,5;34;48;84;86;116;118;130;131;262;314
109,12;22;107;117;183;186;218;263;276;288;290
102,41;93;155;246;293;299;316
103,49;91;92;105;150;231;247;294;301;306;317;320
100,40;48;89;94;151;154;228;244;285;289;298;303;315;322
101,35;39;93;94;149;229;245;292;300;302;314;323
106,45;55;98;120;162;307;308;316
107,5;21;22;47;67;71;109;113;126;127;264;381
104,44;54;115;159;306;307;314
105,49;53;103;119;160;308;317
39,23;36;37;84;101;149;271;296;298;309
38,12;40;41;71;89;138;267;300;302;310
33,99;117;151;181;203;232;286;288
32,77;80;82;86;156;159;313;316
31,75;80;85;208;314;400
30,73;74;81;83;157;161;312;314
37,4;11;39;41;70;88;90;93;137;298;303;309;311
36,9;39;69;94;136;268;274;295;296
35,101;155;156;179;199;289;292
34,98;108;116;152;157;201;204;284;294
438,398;402;409;413;416;422;424;434;446;458;462;493;494
439,385;415;443;458;477;496;507;512
436,390;392;409;410;451;486;491;494
437,390;418;448;458;494;496
434,383;416;438;459;476;510
435,383;393;401;406;420;441;460;510
432,387;389;403;404;454;467;478;484;487
433,400;401;410;413;417;420;442;450;458;476;477;491
430,384;415;443;466;470;501
431,389;419;453;465;471;478;497;509
339,12;137;149;179;181;236;244;254;255;267;288;292;298;373
338,10;26;135;152;238;242;249;260;267;291;297;374
335,136;154;164;166;274;282;283
334,185;192;206;210;253;256;273;283
337,136;149;236;243;253;266;296
336,4;11;136;151;179;180;237;243;251;289;295;372
331,139;150;270;281;282
330,191;193;203;209;251;261;269;281
333,139;154;164;198;215;272;322;326
332,135;140;149;163;190;191;196;197;206;207;213;214;253;254;260;261;271;279;280;320;323;324;327;370
6,1;2;4;137;152;167;184;194;195;200;201;211;212;248;249;255;275
99,1;33;41;89;90;155;243;286;295;296
98,34;91;106;153;226;242;284;297;316;321
91,46;95;98;103;139;220;238;294;297;308;322;380
90,37;99;137;237;288;295;379
93,1;20;37;101;102;137;240;292;299;300
92,21;96;103;135;221;239;291;301;323;379
95,46;52;91;110;145;306;380
94,22;36;47;88;100;101;136;140;223;241;289;302;303;320;382
97,43;50;112;148;307;308;381
96,42;51;92;111;147;306;307;379
238,60;91;139;145;242;247;326;338;343;357
239,61;64;92;135;147;234;247;327;341;352;358
234,2;146;147;173;195;197;237;239;250;251;324;379
235,2;161;162;176;211;215;242;246;260;261;316;326
236,56;59;89;138;170;243;244;325;337;339;355;371
237,58;90;137;146;169;234;243;336;352
230,1;25;119;160;167;217;221;222;349;357;364;365
231,24;28;103;120;162;166;176;220;221;317;320;350;354;367;368
232,33;175;181;228;243;315;371
233,171;180;182;229;244;314;371;372
1,2;3;4;5;6;7;60;63;74;80;93;99;185;191;203;206;219;230;307;314;316;372;379;381;401;402;403;404;405;406;407;408;409;410;411;412
146,11;17;58;61;218;234;237;346;359
147,8;51;64;96;220;234;239;351;354
144,15;19;188;191;193;197;378;381
145,10;52;60;95;219;238;351;353
142,17;21;184;185;192;194;377;379
143,16;186;191;196;379;399
140,20;94;125;154;178;241;279;293;332;340
141,7;21;50;127;152;153;165;194;278;294;341;343
148,14;15;50;56;97;216;221;354;357
149,39;101;130;136;137;171;179;212;245;279;285;286;332;337;339
133,5;73;78;85;122;126;155;206;271;273
132,3;49;80;87;124;265;280
131,5;54;77;85;108;123;127;152;203;267;269;275
130,79;81;83;108;122;149;202;262;266;267;279;310
137,6;19;37;90;93;122;149;155;169;197;237;240;285;289;339;345
136,36;94;149;151;196;241;282;286;329;335;336;337
135,51;92;123;150;152;163;195;239;280;284;332;338
134,55;75;82;86;124;127;153;207;264;271;277
494,406;436;437;438;458;491;493
495,388;423;448;449;479;506
139,52;91;124;153;164;196;238;282;291;331;333
138,22;38;89;126;154;155;170;177;198;236;276;292;328;342
490,403;407;428;443;481;484;492;507;517
491,393;413;433;436;461;494
492,396;399;403;412;489;490
493,392;424;438;442;494;505
24,8;10;85;120;166;231;268;274;275;344;347;351
25,4;8;14;44;53;86;116;119;159;167;227;230;256;277;283;348;354
26,13;14;45;54;87;115;162;168;226;260;267;280;338;350;357
27,12;40;85;117;181;228;258;270;272;344;356
20,88;93;114;140;191;224;292;293
21,92;107;113;141;142;183;189;291;294
22,94;107;109;138;178;186;225;289;292
23,9;11;39;84;118;180;229;257;271;276;342;346
28,13;55;120;160;231;259;271;278;341;349;358
29,3;11;12;41;83;161;179;261;279;281;340;359
407,1;384;395;408;412;416;428;429;445;459;470;490;517
406,1;393;400;401;405;416;435;448;451;472;494;505
405,1;391;397;404;406;417;451;453;457;470;502;504
404,1;389;399;403;405;418;428;432;457;465;479;506;511
403,1;387;396;402;404;419;432;443;444;462;490;492;499;512
402,1;385;398;401;403;414;438;440;444;458;489;500;513;517
401,1;383;395;402;406;413;415;433;435;440;466;476;483;508
400,31;406;410;420;423;433;448;504
409,1;392;397;408;410;413;418;436;438;441;462;473;510;514
408,1;394;398;407;409;417;441;443;445;465;477;483;505
379,1;15;59;60;68;70;90;92;96;142;143;185;186;195;197;221;234;320;377
378,16;17;144;381;382;386
371,171;174;223;232;233;236;243;286;320;342
370,171;174;176;324;327;332;366;367
373,170;175;224;225;228;240;245;292;322;339
372,1;169;172;225;233;241;244;289;336;340
375,165;168;250;259;341;350;361
374,163;167;249;260;338;348;365
377,15;142;379;380;387
376,165;167;248;258;343;344;354;360;364
393,313;406;435;450;451;461;491;503;516
392,312;409;420;436;441;442;482;493
88,16;20;37;57;94;298;302
89,19;38;99;100;138;218;236;285;286;296;298;321;381
397,158;405;409;417;418;461;474;504;516
396,18;403;411;414;419;468;475;492;511
395,318;401;407;415;416;460;469;483;517
394,81;408;422;441;445;446;460
82,32;80;134;269;391
83,4;29;30;41;73;75;128;130;179;211;267;316
80,1;31;32;49;60;64;82;85;128;132;160;200;247;261;269;271;299;316;351
81,30;74;130;266;273;394
86,3;25;32;77;79;108;134;182;214;271;314
87,3;26;78;132;215;272;316
84,4;23;39;108;129;180;212;268;314
85,24;27;31;40;74;80;131;133;181;213;267;271;315;317
7,1;2;3;141;155;165;188;189;197;198;205;214;215;252;258;259;278
245,76;79;101;149;171;182;240;241;327;342;352;373
244,74;100;151;154;181;233;236;241;326;339;345;356;372
247,80;103;150;160;238;239;324;341;343;351
246,78;102;155;161;172;235;240;340;355
241,63;94;136;140;225;244;245;324;342;345;346;372
240,2;62;93;137;169;177;224;245;246;340;359;373
243,2;73;99;155;172;179;232;236;237;336;337;359;371
242,72;75;98;153;162;235;238;325;338;353;355
249,6;10;58;173;185;195;325;338;374
248,6;9;57;174;191;194;255;257;324;343;376
511,396;399;404;411;502;506
510,409;420;434;435;448;473;476;516
513,402;416;429;455;469;472;500;508
512,403;439;496;499;507
515,411;427;428;456;457;467;470;509
514,409;446;473;497;509
517,395;398;402;407;489;490
516,393;397;426;448;450;510
458,402;410;414;419;433;437;438;439;465;472;477;494
459,407;414;434;440;463;476;477;507
450,393;417;433;472;480;498;503;508;516
451,391;393;405;406;426;436;473;480;482
452,388;390;410;411;423;457;475
453,399;405;412;419;427;431;449;470;472;480;488;502
454,386;388;411;412;432;479;485;488;499
455,386;414;428;472;479;498;513
456,391;418;448;470;473;515
457,389;391;404;405;427;452;474;509;515
179,29;35;83;149;243;261;336;339
178,12;22;71;140;225;254;340
177,11;19;70;138;240;251;340;342
176,2;173;206;231;235;259;370
175,2;174;203;228;232;255;258;369;373
174,2;175;191;223;224;248;252;370;371
173,2;176;185;220;234;249;369
172,155;169;170;206;243;246;372
171,149;169;199;202;233;245;366;370;371
170,138;172;187;190;225;236;362;369;373
182,86;154;208;233;245;340;342
183,21;61;109;290;366
180,23;84;151;233;257;336
181,27;33;85;155;232;244;258;339;342
186,22;64;109;123;143;194;200;203;254;288;320;328;367;379
187,19;56;112;170;287;293;363
184,6;63;110;142;194;201;202;253;294;320;368;380
185,1;58;62;111;122;142;169;173;192;196;202;206;249;291;318;328;334;365;379
188,7;60;124;144;197;207;251;289;322;382
189,7;21;63;113;125;198;205;253;323;366;382
11,4;23;29;37;70;146;177;251;276;281;336;359
10,24;51;111;145;220;249;267;275;338;347;353
13,26;28;69;111;164;220;272;274;278;344;349;357
12,27;29;38;71;109;178;218;254;267;279;339;356
15,57;60;65;67;144;148;377;379
14,3;25;26;43;52;67;110;113;148;165;219;222;253;280;283;350;354
17,62;63;66;70;142;146;378;381
16,64;70;88;143;378;382
19,89;137;144;177;187;286;289
18,60;64;69;381;396
322,62;64;77;79;91;100;188;190;205;207;220;228;264;267;272;308;316;317;326;328;333;373;381;382
323,78;92;101;189;221;229;265;271;317;327;332;382
320,57;59;73;75;94;103;184;186;200;202;223;231;262;268;271;306;314;315;324;329;332;371;379;380
321,58;89;98;201;218;226;263;267;315;325;328;380
326,235;238;244;254;258;260;322;328;333;356;357;369
327,239;245;252;259;323;332;358;370
324,234;241;247;248;250;257;320;329;332;346;351;370
325,236;242;249;255;321;328;353;369
328,138;151;153;168;185;186;194;196;202;203;211;213;250;251;256;257;267;276;277;321;322;325;326;369
329,136;150;166;195;212;268;320;324
201,6;34;74;116;129;184;212;256;285;315;321;362
200,6;80;128;156;186;211;261;289;315;320
203,1;33;77;117;131;156;158;175;186;191;209;213;217;255;258;292;314;328;330;360
202,79;115;130;171;184;185;211;260;314;318;320;328;366
205,7;74;119;157;189;190;214;256;294;317;322;368
204,34;72;118;287;362
207,75;118;134;158;188;191;214;257;293;316;322;332;363
206,1;73;78;120;133;157;172;176;185;190;210;213;259;284;316;319;332;334;361
209,156;203;208;257;330;390
208,31;182;209;213;257;261
77,3;32;64;86;131;203;258;317;322;354
76,45;159;199;245;298;352;358
75,31;57;60;83;134;162;207;242;257;267;302;314;320;353
74,1;30;44;48;59;63;81;85;129;201;205;244;256;267;273;300;314;318;347;356
73,4;30;58;59;83;133;206;243;266;303;315;320;359
72,161;204;242;301;355
71,3;12;38;107;125;178;198;272;381
70,3;11;16;17;37;62;64;124;126;177;197;271;379
79,45;62;63;86;130;202;245;260;271;297;316;319;322;348
78,3;62;87;133;161;206;246;259;301;317;323;350
2,1;6;7;173;174;175;176;234;235;240;243;251;253;256;261;354;359
8,24;25;42;50;68;112;147;163;221;250;271;277;341;348;351
68,4;8;58;121;195;268;379
120,24;28;53;106;111;112;206;231;262;280;283;284;307
121,4;46;60;68;128;263;277
122,5;58;62;69;130;133;137;185;267;273
123,51;64;65;67;128;131;135;186;262;267;280
124,3;46;52;60;70;132;134;139;188;264;281;311
125,3;47;63;71;140;189;265;279;310
126,59;66;70;107;133;138;190;264;271;276;309
127,5;50;57;69;107;131;134;141;191;269;271;278
128,4;49;53;80;83;121;123;150;200;262;281;311
129,4;48;74;84;151;201;263;276;309
414,396;402;411;428;447;455;458;459;468;476;485;489;507
415,395;401;412;430;439;443;463;469;472;476;489;499
416,395;406;407;434;438;446;460;464;470;472;473;503;505;513
417,397;405;408;433;442;450;461;465;466;470;482;505;509
