vertex,color
1,0
2,1
3,1
4,1
5,2
6,2
7,2
8,1
9,0
10,2
11,3
12,2
13,3
14,2
15,3
16,2
17,4
18,0
19,4
20,0
21,4
22,2
23,1
24,4
25,4
26,4
27,3
28,6
29,0
30,0
31,3
32,4
33,0
34,4
35,5
36,7
37,4
38,1
39,5
40,4
41,2
42,0
43,3
44,5
45,6
46,3
47,0
48,1
49,1
50,4
51,4
52,1
53,0
54,2
55,2
56,5
57,2
58,0
59,1
60,1
61,0
62,3
63,1
64,1
65,0
66,0
67,0
68,3
69,2
70,0
71,0
72,0
73,3
74,2
75,0
76,4
77,3
78,0
79,2
80,2
81,1
82,0
83,4
84,0
85,0
86,0
87,2
88,1
89,3
90,0
91,5
92,0
93,1
94,6
95,2
96,3
97,0
98,2
99,1
100,2
101,2
102,0
103,3
104,0
105,2
106,0
107,1
108,3
109,4
110,0
111,0
112,2
113,5
114,3
115,1
116,1
117,1
118,5
119,0
120,3
121,0
122,4
123,2
124,2
125,2
126,2
127,0
128,3
129,3
130,0
131,1
132,0
133,1
134,1
135,1
136,4
137,3
138,6
139,0
140,3
141,3
142,0
143,0
144,0
145,0
146,1
147,2
148,1
149,6
150,2
151,1
152,0
153,4
154,0
155,4
156,0
157,3
158,0
159,1
160,3
161,3
162,1
163,2
164,4
165,0
166,0
167,3
168,1
169,2
170,0
171,0
172,3
173,0
174,0
175,3
176,3
177,1
178,1
179,1
180,3
181,2
182,1
183,1
184,3
185,1
186,3
187,3
188,3
189,3
190,3
191,1
192,2
193,2
194,1
195,0
196,3
197,1
198,1
199,2
200,1
201,0
202,4
203,2
204,1
205,4
206,2
207,2
208,0
209,1
210,0
211,3
212,3
213,1
214,5
215,3
216,0
217,0
218,0
219,1
220,1
221,3
222,3
223,1
224,2
225,3
226,0
227,2
228,4
229,0
230,1
231,2
232,1
233,2
234,3
235,0
236,2
237,4
238,2
239,4
240,0
241,0
242,3
243,0
244,3
245,3
246,1
247,0
248,3
249,3
250,0
251,0
252,3
253,0
254,5
255,0
256,3
257,4
258,0
259,1
260,1
261,3
262,4
263,2
264,4
265,4
266,2
267,3
268,1
269,3
270,5
271,3
272,1
273,3
274,0
275,3
276,0
277,2
278,4
279,1
280,5
281,5
282,3
283,1
284,0
285,4
286,2
287,0
288,5
289,0
290,0
291,2
292,3
293,1
294,1
295,3
296,0
297,1
298,0
299,3
300,0
301,2
302,3
303,0
304,5
305,5
306,4
307,1
308,1
309,1
310,3
311,1
312,2
313,0
314,1
315,6
316,1
317,5
318,0
319,0
320,5
321,1
322,0
323,1
324,6
325,4
326,4
327,0
328,5
329,7
330,4
331,1
332,4
333,2
334,4
335,2
336,2
337,1
338,5
339,4
340,2
341,5
342,5
343,4
344,2
345,1
346,2
347,0
348,3
349,0
350,5
351,3
352,2
353,1
354,0
355,4
356,1
357,0
358,2
359,2
360,4
361,3
362,2
363,4
364,2
365,0
366,5
367,4
368,5
369,1
370,1
371,3
372,1
373,1
374,4
375,2
376,1
377,1
378,1
379,2
380,4
381,2
382,4
383,2
384,2
385,1
386,0
387,2
388,0
389,1
390,0
391,2
392,0
393,1
394,0
395,2
396,2
397,2
398,1
399,1
400,1
401,1
402,2
403,1
404,2
405,1
406,2
407,1
408,2
409,1
410,2
411,1
412,2
413,0
414,0
415,0
416,4
417,5
418,0
419,0
420,2
421,4
422,2
423,0
424,0
425,5
426,4
427,2
428,3
429,3
430,1
431,2
432,0
433,3
434,0
435,0
436,3
437,2
438,3
439,2
440,0
441,3
442,1
443,3
444,0
445,3
446,2
447,1
448,3
449,1
450,0
451,0
452,3
453,3
454,4
455,2
456,1
457,0
458,1
459,3
460,1
461,0
462,4
463,4
464,1
465,4
466,0
467,2
468,1
469,4
470,6
471,3
472,5
473,2
474,1
475,4
476,2
477,4
478,1
479,0
480,1
481,0
482,1
483,3
484,4
485,5
486,4
487,3
488,5
489,1
490,2
491,2
492,0
493,2
494,0
495,2
496,1
497,1
498,1
499,3
500,1
501,0
502,2
503,3
504,0
505,0
506,1
507,4
508,2
509,3
510,4
511,0
512,0
513,0
514,0
515,4
516,5
517,0
